Week,Tournament,Result,Points Earned,Total Ranking Points,Estimated Ranking,Points to Top
1,No Tournament,,0,42723,25-29,Gap to Top 20 : 5746 pts
2,PETRONAS Malaysia Open 2023,17/32,3000,42723,25-29,Gap to Top 20 : 5746 pts
3,YONEX SUNRISE India Open 2023,17/32,2660,43063,25-29,Gap to Top 20 : 5406 pts
4,DAIHATSU Indonesia Masters 2023,9/16,3600,43063,25-29,Gap to Top 20 : 5406 pts
5,No Tournament,,0,43913,23-27,Gap to Top 20 : 4556 pts
6,No Tournament,,0,43913,23-27,Gap to Top 20 : 4556 pts
7,2023 European Mixed Team Championships,1,4707,43913,23-27,Gap to Top 20 : 4556 pts
8,No Tournament,,0,43913,23-27,Gap to Top 20 : 4556 pts
9,No Tournament,,0,43913,23-27,Gap to Top 20 : 4556 pts
10,YONEX German Open 2023,17/32,1670,43913,23-27,Gap to Top 20 : 4556 pts
11,YONEX All England Open Badminton Championships 2023,17/32,3000,43913,23-27,Gap to Top 20 : 4556 pts
12,YONEX Swiss Open 2023,9/16,2750,43913,23-27,Gap to Top 20 : 4556 pts
13,No Tournament,,0,42813,25-29,Gap to Top 20 : 5656 pts
14,No Tournament,,0,39973,28-32,Gap to Top 20 : 8496 pts
15,No Tournament,,0,39973,28-32,Gap to Top 20 : 8496 pts
16,No Tournament,,0,39973,28-32,Gap to Top 20 : 8496 pts
17,No Tournament,,0,39973,28-32,Gap to Top 20 : 8496 pts
18,No Tournament,,0,36213,32-36,Gap to Top 30 : 3778 pts
19,No Tournament,,0,36213,32-36,Gap to Top 30 : 3778 pts
20,No Tournament,,0,35677,33-37,Gap to Top 30 : 4314 pts
21,No Tournament,,0,34737,33-37,Gap to Top 30 : 5254 pts
22,No Tournament,,0,34737,33-37,Gap to Top 30 : 5254 pts
23,No Tournament,,0,34737,33-37,Gap to Top 30 : 5254 pts
24,No Tournament,,0,34737,33-37,Gap to Top 30 : 5254 pts
25,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
26,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
27,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
28,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
29,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
30,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
31,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
32,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
33,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
34,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
35,No Tournament,,0,32597,35-39,Gap to Top 30 : 7394 pts
36,No Tournament,,0,31607,37-41,Gap to Top 30 : 8384 pts
37,No Tournament,,0,31607,37-41,Gap to Top 30 : 8384 pts
38,No Tournament,,0,31607,37-41,Gap to Top 30 : 8384 pts
39,No Tournament,,0,31607,37-41,Gap to Top 30 : 8384 pts
40,No Tournament,,0,31607,37-41,Gap to Top 30 : 8384 pts
41,No Tournament,,0,31607,37-41,Gap to Top 30 : 8384 pts
42,No Tournament,,0,31607,37-41,Gap to Top 30 : 8384 pts
43,No Tournament,,0,28947,40-44,Gap to Top 30 : 11044 pts
44,No Tournament,,0,26287,47-51,Gap to Top 30 : 13704 pts
45,No Tournament,,0,21387,64-68,Gap to Top 50 : 4620 pts
46,No Tournament,,0,21387,64-68,Gap to Top 50 : 4620 pts
47,No Tournament,,0,21387,64-68,Gap to Top 50 : 4620 pts
48,No Tournament,,0,21387,64-68,Gap to Top 50 : 4620 pts
49,No Tournament,,0,21387,64-68,Gap to Top 50 : 4620 pts
50,No Tournament,,0,21387,64-68,Gap to Top 50 : 4620 pts
51,No Tournament,,0,21387,64-68,Gap to Top 50 : 4620 pts
52,No Tournament,,0,21387,64-68,Gap to Top 50 : 4620 pts
